ids,kpts
CO_Mo_MN1C_ads_0.00V_bias_0_kpt_85,0
N2_Co_MN1C_ads_0.00V_bias_0_kpt_39,0
NH3_Pt_MN1C_ads_-0.50V_bias_0_kpt_50,0
H_Fe_MN1C_ads_0.00V_bias_0_kpt_67,0
N2H_Ni_MN1C_ads_-0.50V_bias_0_kpt_58,0
N2_Mo_MN1C_ads_-0.50V_bias_0_kpt_28,0
N2H_Mo_MN1C_ads_-0.50V_bias_0_kpt_14,0
CO2_Cu_MN1C_ads_-0.50V_bias_0_kpt_68,0
CO_Cu_MN1C_ads_-0.50V_bias_0_kpt_28,0
CO_Pt_MN1C_ads_-1.00V_bias_0_kpt_86,0
CO_Mo_MN1C_ads_-1.00V_bias_0_kpt_15,0
H_Cu_MN1C_ads_-1.00V_bias_0_kpt_69,0
H_Pt_MN1C_ads_0.00V_bias_0_kpt_35,0
COOH_Pt_MN1C_ads_-0.50V_bias_0_kpt_25,0
H_Fe_MN1C_ads_-1.00V_bias_0_kpt_76,0
NH3_Co_MN1C_ads_0.00V_bias_0_kpt_89,0
CO2_Co_MN1C_ads_-0.50V_bias_0_kpt_57,0
N2H_Cu_MN1C_ads_0.00V_bias_0_kpt_61,0
CO2_Co_MN1C_ads_-0.50V_bias_0_kpt_79,0
H_Mo_MN1C_ads_0.00V_bias_0_kpt_43,0
H_Pt_MN1C_ads_0.00V_bias_0_kpt_45,0
N2H_Pt_MN1C_ads_-0.50V_bias_0_kpt_80,0
CO_Ni_MN1C_ads_0.00V_bias_0_kpt_16,0
N2H_Fe_MN1C_ads_-0.50V_bias_0_kpt_48,0
N2H_Ni_MN1C_ads_-0.50V_bias_0_kpt_23,0
N2H_Cu_MN1C_ads_0.00V_bias_0_kpt_75,0
CO2_Fe_MN1C_ads_-0.50V_bias_0_kpt_36,0
CO2_Co_MN1C_ads_-1.00V_bias_0_kpt_73,0
N2_Ni_MN1C_ads_-1.00V_bias_0_kpt_66,0
CO2_Cu_MN1C_ads_-0.50V_bias_0_kpt_87,0
NH3_Ni_MN1C_ads_0.00V_bias_0_kpt_56,0
CO2_Fe_MN1C_ads_-0.50V_bias_0_kpt_57,0
COOH_Mo_MN1C_ads_0.00V_bias_0_kpt_46,0
NH3_Cu_MN1C_ads_0.00V_bias_0_kpt_59,0
N2_Pt_MN1C_ads_-0.50V_bias_0_kpt_58,0
N2_Mo_MN1C_ads_0.00V_bias_0_kpt_56,0
CO_Pt_MN1C_ads_-1.00V_bias_0_kpt_23,0
NH3_Pt_MN1C_ads_0.00V_bias_0_kpt_32,0
COOH_Cu_MN1C_ads_-0.50V_bias_0_kpt_39,0
COOH_Fe_MN1C_ads_-1.00V_bias_0_kpt_46,0
CO_Fe_MN1C_ads_-0.50V_bias_0_kpt_22,0
COOH_Pt_MN1C_ads_-0.50V_bias_0_kpt_46,0
H_Mo_MN1C_ads_-1.00V_bias_0_kpt_76,0
COOH_Fe_MN1C_ads_-0.50V_bias_0_kpt_30,0
CO2_Co_MN1C_ads_-1.00V_bias_0_kpt_21,0
CO_Cu_MN1C_ads_-1.00V_bias_0_kpt_43,0
CO_Fe_MN1C_ads_-0.50V_bias_0_kpt_85,0
COOH_Cu_MN1C_ads_-0.50V_bias_0_kpt_48,0
H_Ni_MN1C_ads_-0.50V_bias_0_kpt_50,0
N2_Mo_MN1C_ads_-1.00V_bias_0_kpt_87,0
H_Pt_MN1C_ads_-1.00V_bias_0_kpt_79,0
CO2_Mo_MN1C_ads_0.00V_bias_0_kpt_46,0
COOH_Ni_MN1C_ads_-1.00V_bias_0_kpt_79,0
H_Ni_MN1C_ads_-0.50V_bias_0_kpt_9,0
COOH_Cu_MN1C_ads_0.00V_bias_0_kpt_65,0
N2_Co_MN1C_ads_-1.00V_bias_0_kpt_43,0
CO_Mo_MN1C_ads_0.00V_bias_0_kpt_6,0
N2_Pt_MN1C_ads_-1.00V_bias_0_kpt_76,0
NH3_Mo_MN1C_ads_-0.50V_bias_0_kpt_53,0
H_Pt_MN1C_ads_-1.00V_bias_0_kpt_33,0
N2_Ni_MN1C_ads_-0.50V_bias_0_kpt_33,0
NH3_Cu_MN1C_ads_0.00V_bias_0_kpt_34,0
NH3_Co_MN1C_ads_0.00V_bias_0_kpt_63,0
H_Pt_MN1C_ads_0.00V_bias_0_kpt_2,0
N2_Cu_MN1C_ads_0.00V_bias_0_kpt_17,0
NH3_Co_MN1C_ads_0.00V_bias_0_kpt_5,0
CO_Mo_MN1C_ads_0.00V_bias_0_kpt_60,0
CO_Mo_MN1C_ads_-1.00V_bias_0_kpt_22,0
H_Cu_MN1C_ads_-1.00V_bias_0_kpt_52,0
NH3_Mo_MN1C_ads_-1.00V_bias_0_kpt_28,0
